Projected Population Based on 2020 CPH by Five-Year Age Group and by Sex and Single-Year Interval,,,,,,,,,,,,
,,,,,,,,,,,,
,,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Both Sexes,All Ages,109203,110082,110940,111912,112885,113863,114849,115846,116850,117860,118874
,0-4,11087,10529,9938,9388,8894,8487,8518,8613,8706,8802,8901
,5-9,11288,11283,11269,11237,11166,11026,10470,9881,9334,8843,8437
,10-14,11109,11174,11215,11235,11242,11242,11237,11224,11192,11122,10983
,15-19,10499,10603,10722,10845,10957,11048,11113,11154,11175,11182,11183
,20-24,10040,10130,10202,10267,10337,10422,10526,10645,10767,10880,10971
,25-29,9244,9410,9566,9709,9836,9946,10037,10110,10175,10245,10331
,30-34,8184,8372,8565,8760,8949,9128,9295,9452,9595,9722,9833
,35-39,7233,7371,7525,7693,7871,8054,8242,8436,8631,8819,8998
,40-44,6539,6657,6761,6859,6964,7087,7227,7382,7550,7727,7910
,45-49,5607,5737,5889,6056,6217,6360,6482,6588,6687,6793,6915
,50-54,4972,5051,5120,5193,5278,5386,5520,5674,5839,5998,6140
,55-59,4144,4242,4353,4475,4589,4691,4778,4852,4926,5011,5118
,60-64,3381,3469,3548,3632,3717,3812,3918,4033,4150,4261,4361
,65-69,2402,2507,2623,2753,2876,2987,3084,3168,3247,3329,3420
,70-74,1581,1642,1711,1798,1890,1990,2097,2211,2326,2435,2534
,75-79,934,964,1005,1065,1127,1191,1257,1325,1396,1473,1556
,80-84,571,546,536,548,569,597,631,671,715,760,808
,85+,389,395,391,400,406,410,416,426,440,456,476
Male,All Ages,55393,55819,56239,56720,57202,57685,58171,58662,59155,59652,60150
,0-4,5723,5436,5135,4857,4606,4392,4409,4458,4506,4557,4608
,5-9,5851,5846,5831,5805,5761,5691,5405,5105,4828,4579,4365
,10-14,5731,5773,5801,5818,5825,5826,5821,5807,5780,5737,5667
,15-19,5369,5429,5499,5572,5640,5696,5738,5766,5783,5791,5792
,20-24,5123,5168,5205,5238,5276,5324,5384,5454,5526,5594,5650
,25-29,4722,4802,4878,4950,5015,5071,5117,5154,5187,5226,5274
,30-34,4225,4315,4404,4492,4577,4660,4740,4817,4889,4954,5011
,35-39,3719,3792,3875,3966,4059,4152,4242,4332,4419,4505,4588
,40-44,3364,3421,3470,3517,3569,3631,3706,3790,3880,3973,4065
,45-49,2871,2938,3016,3100,3181,3252,3312,3363,3410,3462,3525
,50-54,2510,2550,2587,2628,2674,2731,2801,2880,2963,3043,3114
,55-59,2063,2111,2165,2224,2281,2333,2378,2418,2458,2505,2561
,60-64,1636,1679,1719,1763,1807,1855,1907,1963,2020,2075,2124
,65-69,1116,1164,1219,1281,1340,1394,1442,1485,1525,1567,1612
,70-74,685,711,741,783,826,873,923,975,1028,1079,1125
,75-79,367,378,394,419,446,474,502,532,564,598,634
,80-84,199,186,181,187,196,207,221,236,253,271,289
,85+,119,120,118,121,122,123,125,128,133,138,145
Female,All Ages,53810,54263,54701,55192,55683,56178,56678,57184,57694,58208,58724
,0-4,5363,5092,4803,4531,4288,4095,4110,4155,4200,4246,4293
,5-9,5437,5437,5438,5432,5406,5335,5065,4776,4506,4264,4072
,10-14,5378,5401,5414,5417,5417,5416,5417,5417,5411,5385,5315
,15-19,5130,5174,5223,5273,5317,5352,5376,5388,5392,5391,5391
,20-24,4917,4962,4998,5029,5061,5098,5142,5191,5241,5286,5321
,25-29,4521,4608,4687,4758,4821,4875,4920,4956,4988,5020,5057
,30-34,3959,4057,4161,4268,4372,4468,4555,4635,4705,4768,4822
,35-39,3514,3579,3650,3727,3811,3902,4000,4105,4211,4315,4411
,40-44,3175,3236,3290,3342,3396,3455,3522,3593,3670,3754,3844
,45-49,2736,2799,2874,2956,3035,3107,3170,3225,3277,3330,3390
,50-54,2462,2501,2533,2565,2604,2655,2719,2795,2876,2955,3026
,55-59,2081,2132,2189,2251,2308,2359,2400,2434,2467,2507,2557
,60-64,1745,1790,1829,1869,1910,1957,2011,2070,2130,2187,2236
,65-69,1286,1342,1404,1472,1536,1592,1641,1683,1722,1762,1808
,70-74,896,931,969,1015,1064,1117,1175,1236,1298,1356,1409
,75-79,567,586,611,645,681,717,755,792,832,875,921
,80-84,372,360,355,362,373,390,411,435,462,490,519
,85+,271,274,273,279,284,287,291,298,307,318,332
,,,,,,,,,,,,
,,,,,,,,,,,,
Latest update:,,,,,,,,,,,,
20240603 09:00,,,,,,,,,,,,
,,,,,,,,,,,,
Source:,,,,,,,,,,,,
Philippine Statistics Authority (PSA),,,,,,,,,,,,
,,,,,,,,,,,,
Contact:,,,,,,,,,,,,
Demographic and Health Statistics Division (DHSD),,,,,,,,,,,,
Phiilippine Statistics Authority (PSA),,,,,,,,,,,,
"20th Floor PSA Headquarters, East Ave. Quezon City ",,,,,,,,,,,,
Tel:8461-0500 loc 820,,,,,,,,,,,,
vsd.staff@psa.gov.ph,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Units:,,,,,,,,,,,,
in thousands,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Internal reference code:,,,,,,,,,,,,
1A3BPOP1,,,,,,,,,,,,
